,accuracy,attack,attack_time,iteration,loss
0,0.8959000110626221,MomentumIterativeMethod,112.03257751464844,600,0.28942524531185604
1,0.9021000266075131,MadryEtAl,116.18197965621948,600,0.271489379559457
2,0.8914999961853021,BasicIterativeMethod,114.41844177246094,600,0.30533745534420004
3,0.8996000289916991,ProjectedGradientDescent,121.43795728683472,600,0.271958055013418
4,0.9397000074386591,FastGradientMethod,12.557386636734009,600,0.15374127135649301
5,0.9050999879837031,MomentumIterativeMethod,118.50916838645935,1200,0.329934069425798
6,0.910099983215332,MadryEtAl,112.32817840576172,1200,0.312646271997503
7,0.901099979877471,BasicIterativeMethod,114.5329864025116,1200,0.351371912527829
8,0.9092000126838681,ProjectedGradientDescent,115.17353129386902,1200,0.306164136689342
9,0.945599973201751,FastGradientMethod,12.125433683395386,1200,0.15725442972164602
10,0.881099998950958,MomentumIterativeMethod,106.62135243415833,1600,0.37400931815505
11,0.883000016212463,MadryEtAl,99.2290711402893,1600,0.366910727328062
12,0.8759999871253961,BasicIterativeMethod,107.63925075531006,1600,0.39535038182735405
13,0.8838999867439271,ProjectedGradientDescent,102.08785438537598,1600,0.36312761555314005
14,0.9359999895095821,FastGradientMethod,11.285914659500122,1600,0.17962921306043803
15,0.90090000629425,MomentumIterativeMethod,105.88816666603088,1350,0.34015146875977503
16,0.905799984931945,MadryEtAl,97.77006340026855,1350,0.31672659586966
17,0.8955000042915341,BasicIterativeMethod,108.82396125793457,1350,0.364512403313815
18,0.9064999818801881,ProjectedGradientDescent,117.90923690795898,1350,0.316201070291176
19,0.9419999718666071,FastGradientMethod,13.79735016822815,1350,0.167370823256019
20,0.8715999722480771,MomentumIterativeMethod,111.90452337265015,1800,0.5097110604725771
21,0.8709999918937681,MadryEtAl,112.71942853927612,1800,0.497993754671514
22,0.8619999885559081,BasicIterativeMethod,116.77210879325867,1800,0.555685299608856
23,0.872399985790252,ProjectedGradientDescent,112.95434641838074,1800,0.49561974782794704
24,0.93199998140335,FastGradientMethod,13.797195434570312,1800,0.215130979981273
25,0.9244999885559081,MomentumIterativeMethod,119.17266893386841,1250,0.280784557942091
26,0.9289000034332271,MadryEtAl,100.15574884414673,1250,0.260044616322941
27,0.9197999835014341,BasicIterativeMethod,112.86525821685791,1250,0.30120074732420005
28,0.92790001630783,ProjectedGradientDescent,106.09994339942932,1250,0.26077839650523305
29,0.9563000202178951,FastGradientMethod,14.111217737197876,1250,0.13474803936416202
30,0.836799979209899,MomentumIterativeMethod,110.43224692344666,300,0.5470114815562961
31,0.836300015449523,MadryEtAl,95.69957232475281,300,0.5420686468243591
32,0.823099970817565,BasicIterativeMethod,107.93701314926147,300,0.6008442745804781
33,0.8346999883651731,ProjectedGradientDescent,101.949871301651,300,0.5457354948520661
34,0.901300013065338,FastGradientMethod,10.925721168518066,300,0.296932775203883
35,0.92110002040863,MomentumIterativeMethod,103.59177589416504,1450,0.25724598226100204
36,0.9265999794006341,MadryEtAl,94.26691174507141,1450,0.23966082668937702
37,0.9182000160217281,BasicIterativeMethod,105.84990739822388,1450,0.27560377858206603
38,0.9239000082015991,ProjectedGradientDescent,96.8117470741272,1450,0.244315009025298
39,0.9575999975204461,FastGradientMethod,12.656416654586792,1450,0.11615970393703301
40,0.8863000273704521,MomentumIterativeMethod,97.62637639045715,1650,0.48792158600352703
41,0.885399997234344,MadryEtAl,92.92134094238281,1650,0.48432856578864103
42,0.8797000050544731,BasicIterativeMethod,111.58895206451416,1650,0.522229056946374
43,0.8848999738693231,ProjectedGradientDescent,103.17749810218811,1650,0.49414025768991504
44,0.941299974918365,FastGradientMethod,9.52206563949585,1650,0.20315352385048702
45,0.9000999927520751,MomentumIterativeMethod,103.8095645904541,750,0.34068007255904303
46,0.901099979877471,MadryEtAl,104.84568500518799,750,0.33854553005695304
47,0.8931000232696531,BasicIterativeMethod,96.48294281959534,750,0.37156292036175703
48,0.901000022888183,ProjectedGradientDescent,103.41684246063232,750,0.33942039036452704
49,0.9358999729156491,FastGradientMethod,11.932815790176392,750,0.18698803714085302
50,0.644500017166137,MomentumIterativeMethod,107.76833987236023,100,0.9544445964813231
51,0.61080002784729,MadryEtAl,100.37866234779358,100,1.064095570945739
52,0.6237999796867371,BasicIterativeMethod,92.79661917686462,100,1.025655236911773
53,0.6100000143051141,ProjectedGradientDescent,102.96460366249084,100,1.0666018242836
54,0.7745000123977661,FastGradientMethod,11.647216320037842,100,0.5873465054750441
55,0.7835999727249141,MomentumIterativeMethod,105.37044477462769,150,0.633101089322567
56,0.7770000100135801,MadryEtAl,97.41878151893616,150,0.654722245407104
57,0.7678999900817871,BasicIterativeMethod,94.44280862808228,150,0.686558632397651
58,0.7754999995231621,ProjectedGradientDescent,100.20846700668335,150,0.6559462016224861
59,0.8622999787330621,FastGradientMethod,11.804957866668701,150,0.375567220979928
60,0.90770000219345,MomentumIterativeMethod,107.55620789527893,1750,0.335972723064199
61,0.9132000207901001,MadryEtAl,102.8718273639679,1750,0.31622362362463
62,0.901400029659271,BasicIterativeMethod,89.47802758216858,1750,0.367358887122944
63,0.9135000109672541,ProjectedGradientDescent,104.9068751335144,1750,0.31189094176292403
64,0.9494000077247621,FastGradientMethod,12.308698177337646,1750,0.15697293937755702
65,0.885599970817565,MomentumIterativeMethod,110.21382904052734,900,0.390347709332779
66,0.8910999894142151,MadryEtAl,110.95852160453796,900,0.35446032603569305
67,0.88069999217987,BasicIterativeMethod,86.03584694862366,900,0.41385692552775105
68,0.8935999870300291,ProjectedGradientDescent,113.20939612388611,900,0.35437215931527305
